idx,params_1,params_2,params_3,params_4,fitness,gen
0,48.0,17.0,55.0,84.0,14.8747,1.0
1,59.0,26.0,63.0,15.0,14.9317,1.0
2,48.0,17.0,55.0,84.0,14.8747,1.0
3,37.0,18.0,27.0,46.0,15.5617,1.0
4,27.0,26.0,22.0,89.0,15.6081,1.0
0,48.0,17.0,55.0,84.0,14.8747,2.0
1,48.0,17.0,55.0,84.0,14.8747,2.0
2,48.0,17.0,55.0,84.0,14.8747,2.0
3,37.0,18.0,27.0,15.0,15.3665,2.0
4,27.0,26.0,74.0,20.0,15.026,2.0
0,48.0,17.0,55.0,84.0,14.8747,3.0
1,48.0,17.0,55.0,84.0,14.8747,3.0
2,48.0,26.0,74.0,20.0,14.4664,3.0
3,27.0,17.0,55.0,84.0,15.2405,3.0
4,27.0,26.0,74.0,20.0,15.026,3.0
0,48.0,26.0,74.0,20.0,14.4664,4.0
1,48.0,17.0,55.0,84.0,14.8747,4.0
2,48.0,26.0,74.0,20.0,14.4664,4.0
3,27.0,17.0,55.0,84.0,15.2405,4.0
4,27.0,26.0,74.0,20.0,15.026,4.0
0,48.0,26.0,74.0,20.0,14.4664,5.0
1,48.0,26.0,74.0,20.0,14.4664,5.0
2,48.0,26.0,74.0,20.0,14.4664,5.0
3,27.0,26.0,74.0,20.0,15.026,5.0
4,27.0,26.0,74.0,20.0,15.026,5.0
